LE39 ACIDO 30min 2.csv;;FTECNICA2-PC\UFC;07/11/2019 15:40:41;GENESYS 10S UV-Vis;2L5S022220;4.006
nm;A
200;0,0477
201;0,0467
202;0,053
203;0,0588
204;0,047
205;0,0454
206;0,0391
207;0,0365
208;0,0333
209;0,0312
210;0,0295
211;0,0275
212;0,0263
213;0,0257
214;0,0244
215;0,0241
216;0,0224
217;0,0214
218;0,0215
219;0,0206
220;0,0202
221;0,0191
222;0,0181
223;0,0172
224;0,0168
225;0,0156
226;0,0145
227;0,0127
228;0,0124
229;0,0119
230;0,0123
231;0,0115
232;0,012
233;0,0113
234;0,0115
235;0,0107
236;0,0114
237;0,0112
238;0,0113
239;0,0107
240;0,0111
241;0,0111
242;0,0108
243;0,0115
244;0,0118
245;0,012
246;0,0112
247;0,0121
248;0,0124
249;0,0122
250;0,0125
251;0,0116
252;0,0124
253;0,0122
254;0,0121
255;0,012
256;0,012
257;0,0125
258;0,0118
259;0,0118
260;0,0122
261;0,0122
262;0,0114
263;0,012
264;0,0111
265;0,0107
266;0,0115
267;0,0119
268;0,0107
269;0,0103
270;0,0104
271;0,0104
272;0,0103
273;0,01
274;0,0098
275;0,0089
276;0,009
277;0,0089
278;0,0086
279;0,0083
280;0,0083
281;0,0079
282;0,0075
283;0,0073
284;0,0072
285;0,0076
286;0,0073
287;0,0074
288;0,0074
289;0,0069
290;0,0073
291;0,007
292;0,0074
293;0,0068
294;0,0068
295;0,0064
296;0,0064
297;0,0064
298;0,0062
299;0,0065
300;0,0056
301;0,0063
302;0,0063
303;0,006
304;0,0061
305;0,0057
306;0,0056
307;0,0058
308;0,0056
309;0,0058
310;0,0054
311;0,0065
312;0,0055
313;0,0056
314;0,0063
315;0,0056
316;0,0062
317;0,0056
318;0,0059
319;0,0057
320;0,0054
321;0,0059
322;0,0068
323;0,0054
324;0,0057
325;0,0062
326;0,0053
327;0,0061
328;0,0082
329;0,007
330;0,0068
331;0,0066
332;0,0062
333;0,0065
334;0,0075
335;0,0073
336;0,0054
337;0,006
338;0,0062
339;0,0069
340;0,0067
341;0,0069
342;0,0064
343;0,0064
344;0,0063
345;0,0067
346;0,0071
347;0,0074
348;0,0072
349;0,007
350;0,0068
351;0,0065
352;0,0078
353;0,0077
354;0,0074
355;0,0068
356;0,0065
357;0,006
358;0,0073
359;0,0083
360;0,0047
361;0,0068
362;0,0069
363;0,0081
364;0,0071
365;0,0058
366;0,0059
367;0,0066
368;0,0065
369;0,0067
370;0,0072
371;0,0058
372;0,0071
373;0,0072
374;0,0047
375;0,007
376;0,0063
377;0,0061
378;0,0065
379;0,0069
380;0,0061
381;0,0065
382;0,0065
383;0,0063
384;0,0071
385;0,0068
386;0,0069
387;0,0071
388;0,0076
389;0,0063
390;0,0078
391;0,0071
392;0,0068
393;0,0069
394;0,008
395;0,0075
396;0,0069
397;0,008
398;0,0058
399;0,0075
400;0,0064
