LE39 ACIDO 1dia 1.csv;;FTECNICA2-PC\UFC;07/11/2019 15:40:56;GENESYS 10S UV-Vis;2L5S022220;4.006
nm;A
200;0,1612
201;0,2347
202;0,2446
203;0,2421
204;0,229
205;0,2148
206;0,195
207;0,1794
208;0,1638
209;0,1525
210;0,1415
211;0,1301
212;0,1222
213;0,1142
214;0,1071
215;0,1015
216;0,0958
217;0,0911
218;0,0877
219;0,0846
220;0,0823
221;0,0795
222;0,0773
223;0,0751
224;0,0739
225;0,071
226;0,0687
227;0,0663
228;0,0643
229;0,0638
230;0,0636
231;0,0616
232;0,0611
233;0,0592
234;0,0583
235;0,057
236;0,056
237;0,056
238;0,0548
239;0,0536
240;0,0529
241;0,0517
242;0,0512
243;0,052
244;0,0522
245;0,0517
246;0,049
247;0,05
248;0,0509
249;0,051
250;0,051
251;0,05
252;0,0501
253;0,051
254;0,051
255;0,0505
256;0,05
257;0,0499
258;0,0489
259;0,0492
260;0,0502
261;0,0508
262;0,05
263;0,0496
264;0,0489
265;0,0486
266;0,0482
267;0,0485
268;0,0475
269;0,0467
270;0,0452
271;0,0449
272;0,0449
273;0,0451
274;0,0439
275;0,0427
276;0,042
277;0,0413
278;0,0405
279;0,0404
280;0,0386
281;0,0385
282;0,0374
283;0,0372
284;0,0368
285;0,0361
286;0,0356
287;0,0355
288;0,0342
289;0,0328
290;0,033
291;0,0324
292;0,0323
293;0,0314
294;0,0314
295;0,0303
296;0,03
297;0,0299
298;0,0293
299;0,0293
300;0,0292
301;0,0282
302;0,0279
303;0,0279
304;0,0285
305;0,028
306;0,0282
307;0,0278
308;0,0273
309;0,0278
310;0,0275
311;0,0282
312;0,0289
313;0,0286
314;0,0287
315;0,0278
316;0,0293
317;0,0291
318;0,0291
319;0,0283
320;0,029
321;0,0299
322;0,0303
323;0,0295
324;0,0299
325;0,0314
326;0,0303
327;0,0308
328;0,0333
329;0,0324
330;0,0329
331;0,033
332;0,0335
333;0,0329
334;0,0347
335;0,0358
336;0,034
337;0,035
338;0,0358
339;0,0371
340;0,0366
341;0,038
342;0,0382
343;0,0374
344;0,0391
345;0,0385
346;0,04
347;0,0411
348;0,0405
349;0,0419
350;0,0416
351;0,0424
352;0,0432
353;0,044
354;0,0445
355;0,0437
356;0,0455
357;0,0443
358;0,0469
359;0,0474
360;0,0458
361;0,046
362;0,0473
363;0,0495
364;0,0488
365;0,0478
366;0,0496
367;0,0496
368;0,05
369;0,0507
370;0,0512
371;0,0513
372;0,0518
373;0,052
374;0,0506
375;0,0528
376;0,0531
377;0,0519
378;0,0529
379;0,0539
380;0,0538
381;0,0534
382;0,0532
383;0,0533
384;0,055
385;0,0552
386;0,0543
387;0,0542
388;0,0548
389;0,0531
390;0,055
391;0,0544
392;0,0531
393;0,0536
394;0,0537
395;0,0531
396;0,053
397;0,0531
398;0,0511
399;0,0517
400;0,0506
