amônia.csv;;FTECNICA2-PC\UFC;07/08/2019 10:11:26;GENESYS 10S UV-Vis;2L5S022220;4.006
nm;A
608;-0,0098
609;-0,0082
610;-0,0117
611;-0,0083
612;-0,0169
613;-0,0065
614;-0,0038
615;-0,009
616;-0,0062
617;-0,0063
618;-0,0053
619;-0,0095
620;-0,0143
621;-0,0101
622;-0,0059
623;-0,0185
624;-0,0106
625;-0,0113
626;-0,0026
627;-0,0044
628;-0,0063
629;-0,0141
630;-0,0033
631;-0,0051
632;-0,0072
633;-0,0055
634;-0,0253
635;-0,0053
636;-0,0024
637;-0,0071
638;-0,0124
639;-0,013
640;-0,0033
641;-0,0174
642;-0,01
643;-0,0065
644;-0,0096
645;-0,01
646;-0,0147
647;-0,0107
648;-0,0195
649;-0,001
650;-0,0067
651;-0,0184
652;-0,0128
653;-0,0072
654;0,0005
655;-0,0063
656;-0,0045
657;-0,0057
658;-0,0065
659;-0,0139
660;-0,0077
661;-0,0064
662;-0,0143
663;-0,0086
664;-0,0042
665;-0,0052
666;-0,0066
667;-0,003
668;-0,0195
669;-0,0036
670;-0,0055
671;-0,0167
672;-0,0059
673;-0,0113
674;-0,0168
675;-0,0066
676;-0,0019
677;-0,0118
678;-0,0015
679;-0,0064
680;-0,0079
681;-0,0112
682;-0,0183
683;-0,0071
684;-0,0265
685;-0,0058
686;-0,0113
687;-0,0114
688;-0,0089
689;-0,0125
690;-0,0087
691;-0,0034
692;-0,0091
693;-0,0112
694;-0,0308
695;-0,0005
696;-0,0079
697;-0,0102
698;-0,0053
699;-0,0078
700;-0,0118
701;-0,0168
702;-0,0099
703;-0,0118
704;-0,0064
705;-0,0032
706;-0,0002
707;-0,0084
708;-0,0026
709;-0,001
710;-0,0111
711;-0,0087
712;-0,0165
713;-0,0036
714;-0,0107
715;-0,0083
716;-0,0067
717;-0,0119
718;-0,0133
719;-0,0044
720;-0,0077
721;-0,0085
722;-0,0117
723;-0,0061
724;-0,007
725;-0,0137
726;-0,0078
727;-0,0046
728;-0,0201
729;-0,0163
730;-0,0143
731;-0,005
732;-0,0105
733;-0,0031
734;-0,0058
735;-0,0207
736;-0,007
737;-0,0087
738;-0,0032
739;-0,0093
740;-0,004
741;-0,0027
742;-0,0085
743;-0,0054
744;-0,001
745;0,0005
746;-0,0089
747;-0,0068
748;-0,0022
749;-0,0043
750;-0,0101
751;-0,0071
752;-0,0061
753;-0,0088
754;-0,0093
755;-0,0023
756;-0,0034
757;-0,0098
758;-0,0129
759;-0,0077
760;-0,0089
761;-0,0141
762;-0,0084
763;-0,0047
764;-0,0116
765;-0,0074
766;-0,0077
767;-0,0089
768;-0,006
769;-0,0051
770;-0,0131
771;-0,008
772;-0,0025
773;-0,0042
774;-0,0073
775;-0,004
776;-0,0113
777;-0,0082
778;-0,0062
779;-0,0075
780;-0,0061
781;-0,0179
782;-0,0115
783;-0,01
784;-0,0057
785;-0,0116
786;-0,0043
787;-0,0055
788;-0,0101
789;-0,0087
790;-0,0152
791;-0,0098
792;-0,0069
793;-0,0033
794;-0,0111
795;-0,0078
796;-0,0055
797;-0,0131
798;-0,0073
799;-0,006
800;-0,0009
