nitrato.csv;;FTECNICA2-PC\UFC;07/08/2019 10:11:25;GENESYS 10S UV-Vis;2L5S022220;4.006
nm;A
600;-0,1313
601;-0,1331
602;-0,1342
603;-0,1354
604;-0,1383
605;-0,1338
606;-0,1283
607;-0,1285
608;-0,1299
609;-0,1346
610;-0,1338
611;-0,1269
612;-0,127
613;-0,1296
614;-0,132
615;-0,128
616;-0,1274
617;-0,1327
618;-0,1288
619;-0,1328
620;-0,1314
621;-0,1331
622;-0,1329
623;-0,1335
624;-0,1344
625;-0,1333
626;-0,1345
627;-0,1367
628;-0,1315
629;-0,1292
630;-0,1257
631;-0,1265
632;-0,1309
633;-0,1294
634;-0,1305
635;-0,1315
636;-0,128
637;-0,1293
638;-0,1293
639;-0,128
640;-0,1308
641;-0,1325
642;-0,1332
643;-0,1331
644;-0,1326
645;-0,1331
646;-0,127
647;-0,1336
648;-0,1289
649;-0,1269
650;-0,1313
651;-0,1304
652;-0,1319
653;-0,1283
654;-0,1276
655;-0,1291
656;-0,1324
657;-0,1298
658;-0,1324
659;-0,1304
660;-0,1261
661;-0,1275
662;-0,1249
663;-0,127
664;-0,1298
665;-0,1293
666;-0,1315
667;-0,1325
668;-0,1326
669;-0,136
670;-0,1376
671;-0,1312
672;-0,1322
673;-0,1364
674;-0,1329
675;-0,1326
676;-0,1303
677;-0,1323
678;-0,138
679;-0,1373
680;-0,1353
681;-0,1279
682;-0,1264
683;-0,13
684;-0,1261
685;-0,1249
686;-0,1293
687;-0,1305
688;-0,1328
689;-0,1287
690;-0,1276
691;-0,1292
692;-0,1284
693;-0,1257
694;-0,1271
695;-0,1266
696;-0,1264
697;-0,1276
698;-0,1346
699;-0,1339
700;-0,1284
701;-0,1208
702;-0,1196
703;-0,1253
704;-0,1278
705;-0,1275
706;-0,1292
707;-0,1289
708;-0,1283
709;-0,1269
710;-0,1272
711;-0,1318
712;-0,1279
713;-0,1269
714;-0,1298
715;-0,1297
716;-0,126
717;-0,1261
718;-0,1254
719;-0,1242
720;-0,1266
721;-0,1255
722;-0,1264
723;-0,1264
724;-0,1288
725;-0,1278
726;-0,1272
727;-0,1247
728;-0,1297
729;-0,1293
730;-0,1225
731;-0,1247
732;-0,1259
733;-0,1233
734;-0,1272
735;-0,1263
736;-0,123
737;-0,1249
738;-0,124
739;-0,1266
740;-0,1277
741;-0,1243
742;-0,1237
743;-0,1244
744;-0,1165
745;-0,1238
746;-0,1237
747;-0,1254
748;-0,124
749;-0,1211
750;-0,1236
751;-0,1262
752;-0,1204
753;-0,1257
754;-0,1305
755;-0,1247
756;-0,1252
757;-0,1245
758;-0,1249
759;-0,124
760;-0,1252
761;-0,1245
762;-0,1245
763;-0,1249
764;-0,1309
765;-0,129
766;-0,114
767;-0,1158
768;-0,1194
769;-0,1204
770;-0,1217
771;-0,1218
772;-0,1226
773;-0,1228
774;-0,1269
775;-0,1236
776;-0,1217
777;-0,1234
778;-0,1264
779;-0,1242
780;-0,1246
781;-0,125
782;-0,1235
783;-0,121
784;-0,1219
785;-0,1268
786;-0,1233
787;-0,1229
788;-0,122
789;-0,1252
790;-0,1238
791;-0,1205
792;-0,1236
793;-0,1228
794;-0,1226
795;-0,1255
796;-0,1239
797;-0,1261
798;-0,1234
799;-0,1205
800;-0,1212
