LE39 ACIDO 12.5h 2.csv;;FTECNICA2-PC\UFC;07/11/2019 15:40:55;GENESYS 10S UV-Vis;2L5S022220;4.006
nm;A
200;0,1263
201;0,18
202;0,1955
203;0,1958
204;0,1806
205;0,1738
206;0,16
207;0,1502
208;0,1368
209;0,1287
210;0,1198
211;0,1111
212;0,1052
213;0,0988
214;0,0932
215;0,0895
216;0,085
217;0,0813
218;0,0789
219;0,0766
220;0,0746
221;0,0729
222;0,0705
223;0,0687
224;0,0681
225;0,0663
226;0,0638
227;0,062
228;0,06
229;0,0596
230;0,0595
231;0,0574
232;0,0569
233;0,0551
234;0,0547
235;0,0529
236;0,0524
237;0,0518
238;0,0506
239;0,0495
240;0,0487
241;0,0477
242;0,0469
243;0,0473
244;0,0471
245;0,0471
246;0,0446
247;0,0451
248;0,0455
249;0,0446
250;0,0447
251;0,0434
252;0,0439
253;0,0438
254;0,0431
255;0,0428
256;0,0424
257;0,0423
258;0,0422
259;0,0412
260;0,042
261;0,0417
262;0,0413
263;0,041
264;0,0399
265;0,0397
266;0,0392
267;0,0394
268;0,0382
269;0,0375
270;0,0361
271;0,0357
272;0,036
273;0,0355
274;0,0346
275;0,0338
276;0,0333
277;0,0326
278;0,0321
279;0,0326
280;0,0314
281;0,0309
282;0,0306
283;0,0304
284;0,0301
285;0,03
286;0,0305
287;0,0305
288;0,03
289;0,0292
290;0,0292
291;0,0287
292;0,03
293;0,0294
294;0,0295
295;0,0288
296;0,0284
297;0,0286
298;0,0283
299;0,0284
300;0,0286
301;0,0282
302;0,0276
303;0,0275
304;0,0285
305;0,0285
306;0,029
307;0,029
308;0,0281
309;0,0278
310;0,0284
311;0,0288
312;0,0288
313;0,0295
314;0,0293
315;0,0286
316;0,03
317;0,0292
318;0,0294
319;0,0291
320;0,0294
321;0,0304
322;0,0311
323;0,0301
324;0,0301
325;0,0315
326;0,0309
327;0,0321
328;0,0331
329;0,0327
330;0,0328
331;0,0333
332;0,0332
333;0,034
334;0,035
335;0,0359
336;0,0347
337;0,0347
338;0,0356
339;0,0373
340;0,0361
341;0,0377
342;0,038
343;0,0372
344;0,0387
345;0,0385
346;0,0391
347;0,0405
348;0,0405
349;0,0415
350;0,0415
351;0,0417
352;0,0428
353;0,043
354;0,0433
355;0,0432
356;0,0448
357;0,0431
358;0,0455
359;0,0472
360;0,0447
361;0,0456
362;0,0458
363;0,0479
364;0,0476
365;0,0465
366;0,048
367;0,0476
368;0,0485
369;0,0494
370;0,0492
371;0,0491
372;0,0499
373;0,0498
374;0,0483
375;0,0509
376;0,0506
377;0,0491
378;0,0502
379;0,0507
380;0,0518
381;0,051
382;0,0521
383;0,0516
384;0,0523
385;0,0526
386;0,051
387;0,0511
388;0,0529
389;0,0507
390;0,0532
391;0,0513
392;0,0499
393;0,0509
394;0,0518
395;0,0511
396;0,0502
397;0,0511
398;0,049
399;0,0502
400;0,049
