LE39 ACIDO 2.5h 1.csv;;FTECNICA2-PC\UFC;07/11/2019 15:40:44;GENESYS 10S UV-Vis;2L5S022220;4.006
nm;A
200;0,2245
201;0,3361
202;0,3837
203;0,404
204;0,391
205;0,3796
206;0,3648
207;0,3518
208;0,335
209;0,3212
210;0,3056
211;0,2877
212;0,2728
213;0,2562
214;0,2402
215;0,2243
216;0,2079
217;0,1915
218;0,1769
219;0,1633
220;0,1498
221;0,1371
222;0,1262
223;0,1151
224;0,1054
225;0,0959
226;0,0869
227;0,0786
228;0,0715
229;0,0667
230;0,063
231;0,0572
232;0,0537
233;0,0493
234;0,0465
235;0,0435
236;0,042
237;0,0404
238;0,0378
239;0,0361
240;0,034
241;0,0329
242;0,0315
243;0,0311
244;0,0307
245;0,0299
246;0,0275
247;0,0277
248;0,0272
249;0,0263
250;0,0254
251;0,0234
252;0,0241
253;0,0238
254;0,0229
255;0,0219
256;0,0219
257;0,0213
258;0,0208
259;0,021
260;0,0215
261;0,0212
262;0,0207
263;0,0205
264;0,0195
265;0,02
266;0,02
267;0,0194
268;0,019
269;0,019
270;0,0183
271;0,0181
272;0,0174
273;0,0179
274;0,0169
275;0,0163
276;0,016
277;0,0153
278;0,0151
279;0,0153
280;0,0143
281;0,0136
282;0,0133
283;0,0136
284;0,0128
285;0,0131
286;0,013
287;0,013
288;0,0126
289;0,0113
290;0,0122
291;0,0116
292;0,0126
293;0,011
294;0,0112
295;0,0101
296;0,0099
297;0,0109
298;0,01
299;0,0102
300;0,0103
301;0,0099
302;0,0096
303;0,0096
304;0,0097
305;0,0095
306;0,0103
307;0,0104
308;0,0099
309;0,0098
310;0,0092
311;0,0105
312;0,0102
313;0,0096
314;0,0098
315;0,0093
316;0,0104
317;0,0105
318;0,0102
319;0,0092
320;0,01
321;0,0098
322;0,0104
323;0,0104
324;0,0102
325;0,0105
326;0,0104
327;0,0111
328;0,0113
329;0,0108
330;0,012
331;0,0109
332;0,0117
333;0,0114
334;0,0131
335;0,0133
336;0,012
337;0,0118
338;0,0124
339;0,0141
340;0,0135
341;0,0139
342;0,0135
343;0,0131
344;0,0136
345;0,0134
346;0,0144
347;0,0152
348;0,0145
349;0,0155
350;0,015
351;0,0145
352;0,0159
353;0,0164
354;0,0169
355;0,0169
356;0,0156
357;0,0153
358;0,0173
359;0,019
360;0,0163
361;0,0166
362;0,0175
363;0,0194
364;0,0173
365;0,0169
366;0,0179
367;0,0182
368;0,0186
369;0,0185
370;0,0193
371;0,0193
372;0,0181
373;0,0198
374;0,0183
375;0,0199
376;0,019
377;0,0187
378;0,0191
379;0,019
380;0,0202
381;0,0189
382;0,0194
383;0,0199
384;0,02
385;0,021
386;0,0197
387;0,019
388;0,0208
389;0,0186
390;0,0204
391;0,0206
392;0,0194
393;0,0186
394;0,0206
395;0,0193
396;0,0191
397;0,0197
398;0,0187
399;0,019
400;0,0186
