LE39 ACIDO 2.5h 2.csv;;FTECNICA2-PC\UFC;07/11/2019 15:40:45;GENESYS 10S UV-Vis;2L5S022220;4.006
nm;A
200;0,0469
201;0,0719
202;0,0953
203;0,0986
204;0,095
205;0,0979
206;0,0898
207;0,0846
208;0,0766
209;0,0716
210;0,0665
211;0,0606
212;0,0571
213;0,0534
214;0,0501
215;0,0475
216;0,0444
217;0,0421
218;0,0404
219;0,0391
220;0,0378
221;0,0366
222;0,0347
223;0,0328
224;0,0321
225;0,0305
226;0,0283
227;0,027
228;0,025
229;0,025
230;0,0253
231;0,0237
232;0,0234
233;0,0221
234;0,0222
235;0,0211
236;0,0212
237;0,021
238;0,02
239;0,0196
240;0,0188
241;0,0187
242;0,0186
243;0,0187
244;0,0186
245;0,0188
246;0,017
247;0,0175
248;0,0183
249;0,018
250;0,0176
251;0,0169
252;0,0175
253;0,017
254;0,0171
255;0,0166
256;0,0162
257;0,0161
258;0,0153
259;0,0152
260;0,0162
261;0,0161
262;0,0156
263;0,0156
264;0,0151
265;0,0146
266;0,0146
267;0,0143
268;0,0139
269;0,0137
270;0,0124
271;0,0124
272;0,0124
273;0,0127
274;0,0114
275;0,0109
276;0,011
277;0,0107
278;0,01
279;0,0098
280;0,0092
281;0,0091
282;0,0087
283;0,0089
284;0,0092
285;0,0085
286;0,0079
287;0,009
288;0,0087
289;0,007
290;0,0078
291;0,0074
292;0,0077
293;0,0075
294;0,0077
295;0,0066
296;0,0066
297;0,0074
298;0,007
299;0,0071
300;0,0063
301;0,0068
302;0,0067
303;0,0068
304;0,0071
305;0,0068
306;0,0072
307;0,0069
308;0,0065
309;0,0062
310;0,0061
311;0,0065
312;0,0077
313;0,0071
314;0,0073
315;0,0062
316;0,0075
317;0,007
318;0,0073
319;0,0067
320;0,007
321;0,0076
322;0,0077
323;0,0072
324;0,0073
325;0,0081
326;0,0069
327;0,0075
328;0,0089
329;0,0079
330;0,0086
331;0,0082
332;0,0083
333;0,0087
334;0,009
335;0,0104
336;0,0086
337;0,0088
338;0,0087
339;0,0106
340;0,0098
341;0,0097
342;0,0105
343;0,0099
344;0,0106
345;0,0103
346;0,0117
347;0,0124
348;0,0115
349;0,0124
350;0,0118
351;0,0117
352;0,0122
353;0,0135
354;0,0128
355;0,0127
356;0,0124
357;0,0122
358;0,0137
359;0,0144
360;0,0129
361;0,0122
362;0,0142
363;0,0156
364;0,0146
365;0,0134
366;0,0141
367;0,0137
368;0,0151
369;0,015
370;0,0152
371;0,0155
372;0,0158
373;0,0158
374;0,0144
375;0,0155
376;0,0164
377;0,0143
378;0,0157
379;0,0166
380;0,016
381;0,0153
382;0,0158
383;0,0163
384;0,017
385;0,0175
386;0,0162
387;0,0166
388;0,0167
389;0,0159
390;0,0167
391;0,0162
392;0,016
393;0,0157
394;0,017
395;0,0155
396;0,0168
397;0,0169
398;0,016
399;0,0161
400;0,0156
