LE39 ACIDO 1.5h 1.csv;;FTECNICA2-PC\UFC;07/11/2019 15:40:42;GENESYS 10S UV-Vis;2L5S022220;4.006
nm;A
200;0,0732
201;0,1142
202;0,1281
203;0,1343
204;0,1241
205;0,118
206;0,104
207;0,0988
208;0,0889
209;0,0828
210;0,0765
211;0,0699
212;0,066
213;0,0618
214;0,0583
215;0,0552
216;0,0518
217;0,0495
218;0,0479
219;0,046
220;0,0448
221;0,0432
222;0,0416
223;0,0402
224;0,0389
225;0,0377
226;0,0359
227;0,0341
228;0,033
229;0,033
230;0,0328
231;0,0313
232;0,0308
233;0,0299
234;0,0293
235;0,0279
236;0,0279
237;0,0271
238;0,027
239;0,0252
240;0,0247
241;0,0242
242;0,0234
243;0,0238
244;0,0236
245;0,0227
246;0,0205
247;0,0218
248;0,0217
249;0,0208
250;0,0202
251;0,0186
252;0,0192
253;0,0192
254;0,0185
255;0,0165
256;0,0167
257;0,0167
258;0,016
259;0,0167
260;0,0172
261;0,0177
262;0,0163
263;0,0165
264;0,0161
265;0,0155
266;0,0158
267;0,016
268;0,0152
269;0,015
270;0,0134
271;0,0139
272;0,0143
273;0,014
274;0,0138
275;0,0121
276;0,0127
277;0,0125
278;0,012
279;0,0122
280;0,0114
281;0,0116
282;0,0111
283;0,0107
284;0,0108
285;0,0108
286;0,011
287;0,0105
288;0,0105
289;0,0092
290;0,0101
291;0,0095
292;0,0101
293;0,009
294;0,0091
295;0,0087
296;0,0086
297;0,0093
298;0,0084
299;0,0088
300;0,009
301;0,0084
302;0,0085
303;0,0083
304;0,009
305;0,0083
306;0,0092
307;0,0083
308;0,0082
309;0,0085
310;0,0084
311;0,0089
312;0,0093
313;0,009
314;0,0091
315;0,0084
316;0,0097
317;0,0091
318;0,009
319;0,0083
320;0,0091
321;0,0093
322;0,0099
323;0,0093
324;0,0095
325;0,0106
326;0,0088
327;0,0098
328;0,0112
329;0,0114
330;0,0107
331;0,011
332;0,0114
333;0,0108
334;0,011
335;0,0123
336;0,0105
337;0,0114
338;0,0111
339;0,0125
340;0,0125
341;0,0124
342;0,0128
343;0,0116
344;0,0123
345;0,0127
346;0,0132
347;0,0143
348;0,0134
349;0,014
350;0,0133
351;0,014
352;0,0148
353;0,0143
354;0,015
355;0,0141
356;0,015
357;0,0133
358;0,0157
359;0,0162
360;0,0147
361;0,0148
362;0,016
363;0,0177
364;0,0167
365;0,0158
366;0,0167
367;0,0164
368;0,0168
369;0,0167
370;0,0174
371;0,0174
372;0,0178
373;0,0177
374;0,0162
375;0,0173
376;0,018
377;0,0169
378;0,0173
379;0,0183
380;0,0184
381;0,018
382;0,0181
383;0,0182
384;0,0192
385;0,0188
386;0,0178
387;0,0186
388;0,0203
389;0,0174
390;0,0192
391;0,0186
392;0,018
393;0,0178
394;0,0191
395;0,0182
396;0,0185
397;0,0185
398;0,0171
399;0,0177
400;0,0172
