LE39 ACIDO 3dia 2.csv;;FTECNICA2-PC\UFC;07/11/2019 15:41:02;GENESYS 10S UV-Vis;2L5S022220;4.006
nm;A
200;0,1526
201;0,2211
202;0,232
203;0,2363
204;0,2165
205;0,2039
206;0,1897
207;0,1767
208;0,1623
209;0,1518
210;0,1429
211;0,1332
212;0,1265
213;0,1198
214;0,1137
215;0,1093
216;0,1044
217;0,1005
218;0,0976
219;0,0947
220;0,0929
221;0,0903
222;0,0886
223;0,086
224;0,0851
225;0,0831
226;0,08
227;0,0782
228;0,0757
229;0,0743
230;0,0742
231;0,0714
232;0,0704
233;0,0687
234;0,0673
235;0,0659
236;0,0648
237;0,0632
238;0,0625
239;0,061
240;0,0599
241;0,0586
242;0,057
243;0,0571
244;0,0571
245;0,0571
246;0,0542
247;0,0548
248;0,0549
249;0,0538
250;0,054
251;0,0531
252;0,0533
253;0,0526
254;0,0525
255;0,0522
256;0,0519
257;0,0513
258;0,0506
259;0,0501
260;0,0503
261;0,0502
262;0,0494
263;0,0493
264;0,048
265;0,0468
266;0,0466
267;0,0462
268;0,0454
269;0,0443
270;0,0427
271;0,0421
272;0,0418
273;0,0409
274;0,0403
275;0,0386
276;0,0381
277;0,0374
278;0,0367
279;0,0368
280;0,0358
281;0,0347
282;0,0349
283;0,035
284;0,0348
285;0,0341
286;0,0337
287;0,0344
288;0,0336
289;0,0317
290;0,0318
291;0,032
292;0,0323
293;0,031
294;0,0317
295;0,0305
296;0,0309
297;0,03
298;0,0301
299;0,0301
300;0,0298
301;0,0295
302;0,0295
303;0,0294
304;0,0299
305;0,0297
306;0,0301
307;0,0299
308;0,0292
309;0,0284
310;0,0292
311;0,0298
312;0,0295
313;0,029
314;0,03
315;0,0291
316;0,0304
317;0,0303
318;0,0299
319;0,0298
320;0,0303
321;0,0312
322;0,0321
323;0,031
324;0,0311
325;0,0323
326;0,0313
327;0,0327
328;0,0339
329;0,034
330;0,0345
331;0,034
332;0,0351
333;0,0347
334;0,0359
335;0,0364
336;0,0365
337;0,0365
338;0,0372
339;0,0385
340;0,0385
341;0,0386
342;0,0397
343;0,04
344;0,0399
345;0,0405
346;0,0425
347;0,0424
348;0,0419
349;0,0432
350;0,0435
351;0,0442
352;0,0455
353;0,0463
354;0,0463
355;0,0463
356;0,0474
357;0,0466
358;0,0489
359;0,0503
360;0,0478
361;0,0492
362;0,0496
363;0,0518
364;0,0513
365;0,0505
366;0,0521
367;0,0514
368;0,0523
369;0,0532
370;0,0538
371;0,0537
372;0,0545
373;0,0548
374;0,0531
375;0,0557
376;0,0559
377;0,054
378;0,0555
379;0,0565
380;0,0563
381;0,0553
382;0,0571
383;0,0568
384;0,0573
385;0,0578
386;0,0561
387;0,0568
388;0,0581
389;0,0563
390;0,0577
391;0,0572
392;0,0563
393;0,0548
394;0,0561
395;0,0554
396;0,0558
397;0,0562
398;0,0538
399;0,0542
400;0,0533
