LE39 ACIDO 0h 2.csv;;FTECNICA2-PC\UFC;07/11/2019 15:42:25;GENESYS 10S UV-Vis;2L5S022220;4.006
nm;A
200;-0,0003
201;0,0032
202;-0,001
203;0,0047
204;0,0039
205;0,0069
206;0,0041
207;0,0036
208;0,0039
209;0,0045
210;0,0048
211;0,0049
212;0,0051
213;0,006
214;0,0057
215;0,006
216;0,0058
217;0,0061
218;0,0065
219;0,0063
220;0,0062
221;0,0061
222;0,0058
223;0,0039
224;0,004
225;0,0042
226;0,0034
227;0,0025
228;0,0019
229;0,0021
230;0,0023
231;0,0017
232;0,0022
233;0,0021
234;0,0022
235;0,002
236;0,0019
237;0,0024
238;0,002
239;0,0018
240;0,003
241;0,0031
242;0,0027
243;0,003
244;0,0035
245;0,0032
246;0,0031
247;0,0043
248;0,0048
249;0,0034
250;0,0035
251;0,0044
252;0,0042
253;0,0045
254;0,0045
255;0,0043
256;0,0043
257;0,0047
258;0,0036
259;0,0042
260;0,0038
261;0,0043
262;0,0045
263;0,0044
264;0,0035
265;0,0037
266;0,0043
267;0,0044
268;0,0043
269;0,0038
270;0,0032
271;0,0036
272;0,0031
273;0,0038
274;0,0027
275;0,0026
276;0,0025
277;0,0023
278;0,002
279;0,0026
280;0,0016
281;0,0014
282;0,001
283;0,0009
284;0,0015
285;0,002
286;0,0012
287;0,0014
288;0,0013
289;-0,0001
290;0,0013
291;0,0004
292;0,0003
293;0,0007
294;0,0017
295;0,0002
296;0,001
297;0,0008
298;-0,0002
299;0,0004
300;0,0006
301;0,0002
302;-0,0001
303;-0,0002
304;0,0004
305;-0,0001
306;0,0006
307;-0,0008
308;0,0001
309;-0,0007
310;-0,0006
311;0,0008
312;0,0002
313;-0,0002
314;0,0012
315;-0,0003
316;0,0009
317;0,0003
318;-0,0003
319;0
320;-0,0004
321;0,0005
322;-0,0009
323;-0,0003
324;0,0001
325;0,0005
326;-0,0009
327;-0,0005
328;0,0016
329;0,0003
330;0,0013
331;-0,0005
332;0,0009
333;0,0012
334;0,0012
335;0,0023
336;0,0002
337;0,0001
338;0,0006
339;0,0009
340;0,0013
341;0,0012
342;0,0009
343;0,0002
344;0,0003
345;-0,0002
346;0,0014
347;0,0012
348;0,0011
349;0,0011
350;0,0016
351;0,0003
352;0,0015
353;0,0017
354;0,0018
355;0,0009
356;0,0009
357;0,0008
358;0,0019
359;0,0028
360;0,0004
361;-0,0004
362;0,0009
363;0,0016
364;0,0019
365;-0,0002
366;0,001
367;0,0007
368;0,0012
369;0,0011
370;0,0021
371;0,0007
372;0,0005
373;0,0019
374;-0,0001
375;0,0023
376;0,0021
377;0,0005
378;0,0001
379;0,0016
380;0,0004
381;0,0007
382;0,0007
383;0,0007
384;0,0014
385;0,0019
386;0,0008
387;0,0009
388;0,0018
389;0,0003
390;0,0012
391;0,0014
392;0,0008
393;0,0004
394;0,0025
395;0,0016
396;0,0014
397;0,0025
398;0,0004
399;0,0016
400;0,0004
