LE39 ACIDO 6.5h 1.csv;;FTECNICA2-PC\UFC;07/11/2019 15:40:49;GENESYS 10S UV-Vis;2L5S022220;4.006
nm;A
200;0,0804
201;0,1209
202;0,1306
203;0,1393
204;0,13
205;0,1236
206;0,1146
207;0,1055
208;0,0961
209;0,0891
210;0,0832
211;0,0766
212;0,072
213;0,0674
214;0,0634
215;0,0599
216;0,0568
217;0,0537
218;0,0523
219;0,0507
220;0,0496
221;0,0482
222;0,0466
223;0,0448
224;0,0444
225;0,0429
226;0,0409
227;0,0393
228;0,0375
229;0,0376
230;0,0375
231;0,0356
232;0,0352
233;0,034
234;0,0339
235;0,0325
236;0,032
237;0,0315
238;0,0308
239;0,0297
240;0,0292
241;0,0282
242;0,0276
243;0,0275
244;0,0276
245;0,0281
246;0,0253
247;0,0265
248;0,0268
249;0,0262
250;0,0256
251;0,0254
252;0,0251
253;0,0255
254;0,0251
255;0,0239
256;0,0243
257;0,0236
258;0,0231
259;0,023
260;0,0238
261;0,0233
262;0,0229
263;0,0226
264;0,0221
265;0,0219
266;0,0207
267;0,0213
268;0,0207
269;0,0195
270;0,0183
271;0,0182
272;0,0187
273;0,0183
274;0,0175
275;0,0167
276;0,0161
277;0,0162
278;0,0152
279;0,0158
280;0,0145
281;0,0142
282;0,0141
283;0,0137
284;0,014
285;0,0144
286;0,0137
287;0,0143
288;0,0139
289;0,0131
290;0,0134
291;0,0129
292;0,0138
293;0,0129
294;0,0135
295;0,0125
296;0,013
297;0,0133
298;0,0129
299;0,0129
300;0,0132
301;0,0123
302;0,0126
303;0,0125
304;0,0135
305;0,0128
306;0,0133
307;0,0136
308;0,0126
309;0,0128
310;0,0128
311;0,0139
312;0,0142
313;0,0136
314;0,0142
315;0,0131
316;0,014
317;0,0136
318;0,0144
319;0,0136
320;0,0139
321;0,0148
322;0,0152
323;0,0151
324;0,0148
325;0,0161
326;0,0157
327;0,0161
328;0,0181
329;0,0172
330;0,0176
331;0,0176
332;0,0181
333;0,0178
334;0,0194
335;0,0201
336;0,0186
337;0,0195
338;0,0198
339;0,0213
340;0,0203
341;0,0213
342;0,0212
343;0,022
344;0,0219
345;0,0221
346;0,0236
347;0,0246
348;0,0241
349;0,0253
350;0,025
351;0,0252
352;0,0261
353;0,0267
354;0,0256
355;0,026
356;0,0274
357;0,0266
358;0,0285
359;0,0291
360;0,027
361;0,0283
362;0,0288
363;0,0301
364;0,0287
365;0,0285
366;0,0303
367;0,0292
368;0,0307
369;0,0312
370;0,0317
371;0,031
372;0,0319
373;0,0328
374;0,0313
375;0,0335
376;0,0329
377;0,03
378;0,0331
379;0,0339
380;0,034
381;0,034
382;0,0342
383;0,0338
384;0,0346
385;0,035
386;0,0336
387;0,0342
388;0,0357
389;0,0328
390;0,0351
391;0,0346
392;0,0335
393;0,0338
394;0,0344
395;0,0341
396;0,034
397;0,0348
398;0,032
399;0,033
400;0,0324
