LE39 ACIDO 3dia 1.csv;;FTECNICA2-PC\UFC;07/11/2019 15:41:01;GENESYS 10S UV-Vis;2L5S022220;4.006
nm;A
200;0,2333
201;0,3562
202;0,3863
203;0,3725
204;0,3408
205;0,3168
206;0,2924
207;0,2711
208;0,2474
209;0,2304
210;0,2159
211;0,2
212;0,1888
213;0,1773
214;0,1679
215;0,1601
216;0,1528
217;0,146
218;0,1424
219;0,139
220;0,1358
221;0,1327
222;0,1304
223;0,128
224;0,1276
225;0,1255
226;0,1229
227;0,1219
228;0,1194
229;0,1181
230;0,1183
231;0,1152
232;0,1145
233;0,1121
234;0,1108
235;0,1085
236;0,1069
237;0,1046
238;0,1011
239;0,0967
240;0,0932
241;0,0897
242;0,0861
243;0,0839
244;0,0816
245;0,0782
246;0,0722
247;0,0697
248;0,0669
249;0,0631
250;0,0589
251;0,0534
252;0,0511
253;0,0489
254;0,047
255;0,0443
256;0,0429
257;0,0419
258;0,0407
259;0,0397
260;0,0401
261;0,0395
262;0,0385
263;0,0384
264;0,0364
265;0,0365
266;0,0359
267;0,0351
268;0,0347
269;0,0339
270;0,0321
271;0,0318
272;0,0318
273;0,0311
274;0,0301
275;0,0289
276;0,0274
277;0,0272
278;0,0268
279;0,027
280;0,0247
281;0,0247
282;0,0248
283;0,0247
284;0,0236
285;0,0243
286;0,0234
287;0,0233
288;0,0224
289;0,0216
290;0,0218
291;0,021
292;0,022
293;0,0213
294;0,021
295;0,0206
296;0,0201
297;0,0204
298;0,0194
299;0,0197
300;0,0201
301;0,0197
302;0,0194
303;0,0192
304;0,0198
305;0,0191
306;0,0201
307;0,0199
308;0,0192
309;0,0194
310;0,0197
311;0,0202
312;0,0201
313;0,0202
314;0,0211
315;0,0198
316;0,0216
317;0,0215
318;0,0216
319;0,0209
320;0,0213
321;0,0219
322;0,0228
323;0,0229
324;0,0231
325;0,0251
326;0,0237
327;0,0253
328;0,0269
329;0,0259
330;0,0269
331;0,0273
332;0,0281
333;0,0282
334;0,029
335;0,0301
336;0,0292
337;0,0289
338;0,0297
339;0,0309
340;0,0313
341;0,0326
342;0,0332
343;0,0323
344;0,0334
345;0,0339
346;0,0347
347;0,036
348;0,0367
349;0,0365
350;0,0368
351;0,0374
352;0,0387
353;0,0392
354;0,0396
355;0,0402
356;0,0395
357;0,0395
358;0,0426
359;0,0437
360;0,042
361;0,042
362;0,043
363;0,0456
364;0,0451
365;0,0436
366;0,0454
367;0,0455
368;0,0459
369;0,0469
370;0,0481
371;0,0474
372;0,0479
373;0,0488
374;0,0468
375;0,0496
376;0,0492
377;0,0483
378;0,0491
379;0,0494
380;0,0504
381;0,0498
382;0,0502
383;0,0507
384;0,0517
385;0,0524
386;0,0505
387;0,0511
388;0,0523
389;0,0501
390;0,0508
391;0,051
392;0,0499
393;0,0504
394;0,0508
395;0,05
396;0,0496
397;0,0505
398;0,0484
399;0,0488
400;0,0479
