LE39 ACIDO 3.5h 2.csv;;FTECNICA2-PC\UFC;07/11/2019 15:40:48;GENESYS 10S UV-Vis;2L5S022220;4.006
nm;A
200;0,0778
201;0,119
202;0,1291
203;0,1353
204;0,1305
205;0,1154
206;0,1057
207;0,0983
208;0,0885
209;0,0817
210;0,0756
211;0,0692
212;0,065
213;0,0607
214;0,057
215;0,0538
216;0,0511
217;0,0486
218;0,0474
219;0,0458
220;0,0444
221;0,0432
222;0,0419
223;0,04
224;0,0393
225;0,0377
226;0,0361
227;0,0346
228;0,0331
229;0,0324
230;0,0325
231;0,0309
232;0,0304
233;0,0293
234;0,029
235;0,0279
236;0,0275
237;0,0268
238;0,0265
239;0,0255
240;0,0251
241;0,0247
242;0,0245
243;0,0245
244;0,0244
245;0,0247
246;0,0225
247;0,0236
248;0,0235
249;0,0234
250;0,023
251;0,0227
252;0,0229
253;0,0225
254;0,0224
255;0,0219
256;0,0219
257;0,0225
258;0,0209
259;0,0213
260;0,0217
261;0,0213
262;0,021
263;0,0213
264;0,0205
265;0,0206
266;0,02
267;0,0201
268;0,0197
269;0,0185
270;0,0182
271;0,018
272;0,0174
273;0,0173
274;0,0167
275;0,0161
276;0,0162
277;0,0153
278;0,0151
279;0,0147
280;0,0138
281;0,0145
282;0,0139
283;0,0137
284;0,0132
285;0,0137
286;0,0133
287;0,0137
288;0,0137
289;0,0122
290;0,0127
291;0,0121
292;0,0124
293;0,0121
294;0,0125
295;0,0123
296;0,0123
297;0,0128
298;0,0118
299;0,0117
300;0,0126
301;0,0121
302;0,0117
303;0,0121
304;0,0129
305;0,0124
306;0,0128
307;0,0131
308;0,0126
309;0,0123
310;0,0123
311;0,0128
312;0,0134
313;0,0131
314;0,0139
315;0,0125
316;0,0136
317;0,0138
318;0,0137
319;0,0136
320;0,0137
321;0,0146
322;0,0153
323;0,0145
324;0,0148
325;0,0164
326;0,0157
327;0,017
328;0,0174
329;0,0175
330;0,0167
331;0,0173
332;0,0174
333;0,0182
334;0,0188
335;0,0198
336;0,0193
337;0,0185
338;0,0194
339;0,0212
340;0,0205
341;0,0209
342;0,0213
343;0,0206
344;0,0214
345;0,021
346;0,0225
347;0,0237
348;0,0225
349;0,0232
350;0,0228
351;0,0232
352;0,0243
353;0,0243
354;0,0238
355;0,0243
356;0,024
357;0,024
358;0,0264
359;0,0258
360;0,0255
361;0,0252
362;0,0256
363;0,0281
364;0,0271
365;0,0253
366;0,0271
367;0,0269
368;0,0278
369;0,0281
370;0,0278
371;0,0283
372;0,0289
373;0,0298
374;0,0276
375;0,0298
376;0,0297
377;0,0274
378;0,0293
379;0,0305
380;0,0296
381;0,0303
382;0,0308
383;0,03
384;0,0307
385;0,0319
386;0,0306
387;0,0309
388;0,0326
389;0,0304
390;0,0322
391;0,0317
392;0,0297
393;0,0303
394;0,0314
395;0,0315
396;0,0309
397;0,0318
398;0,0297
399;0,0303
400;0,0297
