LE39 ACIDO 3.5h 1.csv;;FTECNICA2-PC\UFC;07/11/2019 15:40:46;GENESYS 10S UV-Vis;2L5S022220;4.006
nm;A
200;0,0635
201;0,1038
202;0,1157
203;0,1234
204;0,1132
205;0,1108
206;0,1008
207;0,0952
208;0,0868
209;0,0808
210;0,0759
211;0,0695
212;0,0656
213;0,0618
214;0,0578
215;0,0552
216;0,0525
217;0,0491
218;0,0481
219;0,0465
220;0,045
221;0,0433
222;0,0425
223;0,0402
224;0,0401
225;0,0378
226;0,0361
227;0,0346
228;0,0333
229;0,0329
230;0,0332
231;0,0314
232;0,0311
233;0,0298
234;0,0298
235;0,0284
236;0,0281
237;0,0279
238;0,0273
239;0,0266
240;0,0258
241;0,025
242;0,0249
243;0,0247
244;0,0248
245;0,0249
246;0,0232
247;0,0236
248;0,0242
249;0,0235
250;0,0235
251;0,0225
252;0,0231
253;0,0231
254;0,0222
255;0,022
256;0,0216
257;0,0212
258;0,0208
259;0,0211
260;0,0213
261;0,0215
262;0,0209
263;0,0206
264;0,0203
265;0,0199
266;0,0198
267;0,0198
268;0,019
269;0,0183
270;0,0176
271;0,0173
272;0,0174
273;0,0174
274;0,0167
275;0,0155
276;0,0146
277;0,0149
278;0,0143
279;0,0151
280;0,014
281;0,0138
282;0,0134
283;0,0132
284;0,0126
285;0,0126
286;0,0126
287;0,0132
288;0,0123
289;0,0118
290;0,0121
291;0,0118
292;0,0128
293;0,0116
294;0,0121
295;0,0113
296;0,0115
297;0,0119
298;0,011
299;0,0116
300;0,011
301;0,0108
302;0,0109
303;0,0105
304;0,0116
305;0,0106
306;0,0116
307;0,0116
308;0,0108
309;0,0107
310;0,0111
311;0,012
312;0,0116
313;0,011
314;0,012
315;0,011
316;0,012
317;0,0123
318;0,0116
319;0,0114
320;0,0117
321;0,0127
322;0,0127
323;0,0126
324;0,0121
325;0,0136
326;0,0129
327;0,0136
328;0,0153
329;0,0146
330;0,0143
331;0,014
332;0,0151
333;0,0137
334;0,016
335;0,0169
336;0,0146
337;0,0153
338;0,0157
339;0,0169
340;0,017
341;0,0173
342;0,0179
343;0,016
344;0,018
345;0,0177
346;0,0179
347;0,0194
348;0,0194
349;0,0187
350;0,019
351;0,0193
352;0,0199
353;0,0211
354;0,0214
355;0,0199
356;0,0213
357;0,0206
358;0,0225
359;0,0237
360;0,0215
361;0,0207
362;0,0224
363;0,0246
364;0,0237
365;0,0216
366;0,0234
367;0,0234
368;0,0236
369;0,0232
370;0,0251
371;0,0241
372;0,0249
373;0,0255
374;0,0235
375;0,0264
376;0,0262
377;0,0235
378;0,0256
379;0,0264
380;0,0261
381;0,0264
382;0,0261
383;0,0263
384;0,0268
385;0,027
386;0,0265
387;0,0268
388;0,0277
389;0,0258
390;0,0279
391;0,0272
392;0,0253
393;0,0266
394;0,0274
395;0,0263
396;0,0257
397;0,0267
398;0,0238
399;0,0252
400;0,0248
