LE39 ACIDO 2dia 2.csv;;FTECNICA2-PC\UFC;07/11/2019 15:41:00;GENESYS 10S UV-Vis;2L5S022220;4.006
nm;A
200;0,1838
201;0,2741
202;0,2939
203;0,2933
204;0,2728
205;0,2567
206;0,2332
207;0,2149
208;0,1962
209;0,1813
210;0,1684
211;0,1535
212;0,1426
213;0,1317
214;0,1225
215;0,1144
216;0,1067
217;0,0993
218;0,0943
219;0,0893
220;0,0855
221;0,0812
222;0,0779
223;0,0742
224;0,0723
225;0,0694
226;0,066
227;0,0627
228;0,0603
229;0,059
230;0,0582
231;0,0553
232;0,0545
233;0,0527
234;0,0516
235;0,0496
236;0,0489
237;0,0477
238;0,0468
239;0,0447
240;0,0441
241;0,043
242;0,0419
243;0,0418
244;0,0413
245;0,0413
246;0,0385
247;0,0391
248;0,0391
249;0,0383
250;0,0385
251;0,0375
252;0,0375
253;0,0371
254;0,0369
255;0,0365
256;0,0357
257;0,036
258;0,0348
259;0,0348
260;0,035
261;0,0348
262;0,0339
263;0,0336
264;0,0331
265;0,032
266;0,0317
267;0,0309
268;0,03
269;0,0296
270;0,0281
271;0,0272
272;0,0271
273;0,0271
274;0,026
275;0,0248
276;0,0244
277;0,0236
278;0,0228
279;0,0239
280;0,0222
281;0,0218
282;0,0217
283;0,0216
284;0,0216
285;0,0215
286;0,0209
287;0,0219
288;0,0212
289;0,0201
290;0,0203
291;0,0203
292;0,0207
293;0,0199
294;0,0198
295;0,0202
296;0,0194
297;0,0193
298;0,0192
299;0,0194
300;0,0195
301;0,0191
302;0,0189
303;0,0193
304;0,0196
305;0,0186
306;0,0197
307;0,02
308;0,0188
309;0,019
310;0,0189
311;0,0195
312;0,0198
313;0,0195
314;0,0202
315;0,0196
316;0,0204
317;0,0201
318;0,0203
319;0,02
320;0,0204
321;0,0207
322;0,0218
323;0,0214
324;0,0215
325;0,0227
326;0,0227
327;0,0227
328;0,0238
329;0,0241
330;0,0253
331;0,0249
332;0,0254
333;0,0259
334;0,027
335;0,028
336;0,0269
337;0,0273
338;0,0281
339;0,0293
340;0,0295
341;0,0301
342;0,0302
343;0,0312
344;0,0314
345;0,0313
346;0,0332
347;0,0341
348;0,0325
349;0,0353
350;0,035
351;0,0349
352;0,0362
353;0,0362
354;0,037
355;0,0371
356;0,0375
357;0,0358
358;0,0388
359;0,042
360;0,0387
361;0,038
362;0,0403
363;0,0427
364;0,0425
365;0,0413
366;0,044
367;0,0437
368;0,0444
369;0,0443
370;0,0458
371;0,0447
372;0,0456
373;0,0459
374;0,0448
375;0,0456
376;0,0467
377;0,0459
378;0,047
379;0,0476
380;0,0461
381;0,047
382;0,0485
383;0,0485
384;0,0481
385;0,0489
386;0,0476
387;0,0478
388;0,0485
389;0,0466
390;0,0484
391;0,0486
392;0,0476
393;0,0471
394;0,0485
395;0,0479
396;0,0465
397;0,0474
398;0,0458
399;0,0453
400;0,0454
