LE39 ACIDO 12.5h 1.csv;;FTECNICA2-PC\UFC;07/11/2019 15:40:54;GENESYS 10S UV-Vis;2L5S022220;4.006
nm;A
200;-0,0008
201;0,0388
202;0,0964
203;0,1381
204;0,163
205;0,182
206;0,1848
207;0,1853
208;0,1805
209;0,174
210;0,168
211;0,1592
212;0,1527
213;0,1448
214;0,1375
215;0,1308
216;0,1233
217;0,1165
218;0,111
219;0,1057
220;0,1006
221;0,0961
222;0,0915
223;0,0869
224;0,0837
225;0,0795
226;0,0755
227;0,0716
228;0,0682
229;0,0666
230;0,0659
231;0,0621
232;0,0609
233;0,0588
234;0,0572
235;0,0551
236;0,0542
237;0,0532
238;0,0521
239;0,0505
240;0,0498
241;0,0485
242;0,0475
243;0,0476
244;0,0472
245;0,0467
246;0,0442
247;0,045
248;0,0454
249;0,0444
250;0,0435
251;0,043
252;0,043
253;0,0428
254;0,0427
255;0,0419
256;0,0412
257;0,0414
258;0,0406
259;0,0403
260;0,0404
261;0,0405
262;0,0393
263;0,0393
264;0,0382
265;0,0384
266;0,0378
267;0,038
268;0,0371
269;0,0361
270;0,0349
271;0,0347
272;0,0341
273;0,0342
274;0,0332
275;0,0323
276;0,0324
277;0,0314
278;0,0313
279;0,0313
280;0,0303
281;0,03
282;0,0287
283;0,0292
284;0,0291
285;0,0294
286;0,0288
287;0,0291
288;0,0286
289;0,0279
290;0,0279
291;0,0274
292;0,0284
293;0,027
294;0,0275
295;0,0253
296;0,0264
297;0,0263
298;0,0259
299;0,0258
300;0,0257
301;0,0251
302;0,0254
303;0,0255
304;0,0261
305;0,0251
306;0,0261
307;0,0257
308;0,0252
309;0,0245
310;0,0246
311;0,0256
312;0,0255
313;0,0258
314;0,0258
315;0,0248
316;0,0257
317;0,0255
318;0,0252
319;0,0252
320;0,0249
321;0,0257
322;0,0265
323;0,026
324;0,0258
325;0,0267
326;0,0257
327;0,0266
328;0,0277
329;0,028
330;0,0278
331;0,0271
332;0,0287
333;0,029
334;0,0295
335;0,0299
336;0,0296
337;0,0289
338;0,0294
339;0,0315
340;0,031
341;0,0319
342;0,0318
343;0,0311
344;0,0325
345;0,0319
346;0,0327
347;0,0346
348;0,0339
349;0,0345
350;0,0342
351;0,0341
352;0,0353
353;0,0363
354;0,0362
355;0,035
356;0,0363
357;0,0352
358;0,0372
359;0,0383
360;0,0371
361;0,0374
362;0,0371
363;0,0396
364;0,0392
365;0,0377
366;0,0389
367;0,0391
368;0,0395
369;0,0401
370;0,0404
371;0,0403
372;0,0401
373;0,0406
374;0,0389
375;0,0407
376;0,0412
377;0,0394
378;0,0406
379;0,0414
380;0,0415
381;0,0414
382;0,0416
383;0,0417
384;0,0419
385;0,0417
386;0,0413
387;0,0416
388;0,0413
389;0,04
390;0,0419
391;0,0416
392;0,0407
393;0,0395
394;0,0413
395;0,0406
396;0,0399
397;0,0406
398;0,0383
399;0,0389
400;0,0379
