LE39 ACIDO 6.5h 2.csv;;FTECNICA2-PC\UFC;07/11/2019 15:40:50;GENESYS 10S UV-Vis;2L5S022220;4.006
nm;A
200;0,0114
201;0,0415
202;0,0696
203;0,0899
204;0,0958
205;0,1014
206;0,0995
207;0,0972
208;0,0914
209;0,0864
210;0,0817
211;0,0759
212;0,0718
213;0,0679
214;0,0643
215;0,0615
216;0,0587
217;0,0558
218;0,0545
219;0,0527
220;0,0514
221;0,0498
222;0,0481
223;0,0461
224;0,0452
225;0,0444
226;0,0425
227;0,0403
228;0,0392
229;0,0382
230;0,0382
231;0,036
232;0,0353
233;0,0341
234;0,0331
235;0,0323
236;0,0319
237;0,0314
238;0,0302
239;0,0284
240;0,0287
241;0,0282
242;0,0275
243;0,027
244;0,0276
245;0,0282
246;0,0254
247;0,0258
248;0,0261
249;0,0259
250;0,0256
251;0,0244
252;0,0251
253;0,0244
254;0,0247
255;0,0242
256;0,0236
257;0,024
258;0,0235
259;0,0229
260;0,0232
261;0,0233
262;0,0225
263;0,0223
264;0,0221
265;0,0218
266;0,0212
267;0,0211
268;0,0207
269;0,0204
270;0,0194
271;0,019
272;0,0183
273;0,0191
274;0,0175
275;0,0169
276;0,0163
277;0,0168
278;0,0157
279;0,0166
280;0,0153
281;0,0151
282;0,0146
283;0,0146
284;0,0148
285;0,0147
286;0,0143
287;0,0147
288;0,0143
289;0,0133
290;0,0136
291;0,0132
292;0,0139
293;0,0133
294;0,0136
295;0,013
296;0,0129
297;0,013
298;0,0129
299;0,0121
300;0,013
301;0,0126
302;0,0126
303;0,0126
304;0,0131
305;0,0127
306;0,0135
307;0,0131
308;0,0127
309;0,0128
310;0,0127
311;0,0134
312;0,0135
313;0,014
314;0,0141
315;0,0124
316;0,0145
317;0,0142
318;0,0146
319;0,0139
320;0,0141
321;0,0146
322;0,0154
323;0,0152
324;0,0145
325;0,0155
326;0,0152
327;0,0158
328;0,0173
329;0,017
330;0,018
331;0,0179
332;0,0177
333;0,0179
334;0,0189
335;0,02
336;0,0184
337;0,0187
338;0,0191
339;0,0202
340;0,0203
341;0,0209
342;0,0217
343;0,0206
344;0,0205
345;0,0217
346;0,0219
347;0,0234
348;0,0233
349;0,0236
350;0,0235
351;0,0235
352;0,0236
353;0,0253
354;0,0251
355;0,025
356;0,0251
357;0,0235
358;0,0273
359;0,0283
360;0,0264
361;0,0256
362;0,027
363;0,0295
364;0,0286
365;0,0276
366;0,0283
367;0,0277
368;0,0283
369;0,0284
370;0,0296
371;0,0297
372;0,0299
373;0,0306
374;0,0286
375;0,0305
376;0,0311
377;0,0301
378;0,0299
379;0,0308
380;0,0301
381;0,0307
382;0,0307
383;0,0314
384;0,0317
385;0,032
386;0,0311
387;0,0321
388;0,0323
389;0,031
390;0,0325
391;0,0312
392;0,0312
393;0,0308
394;0,0318
395;0,0313
396;0,0306
397;0,0312
398;0,0299
399;0,0312
400;0,0301
