LE39 ACIDO 9.5h 1.csv;;FTECNICA2-PC\UFC;07/11/2019 15:40:51;GENESYS 10S UV-Vis;2L5S022220;4.006
nm;A
200;0,0894
201;0,1387
202;0,154
203;0,1703
204;0,1659
205;0,1619
206;0,1519
207;0,1437
208;0,134
209;0,1271
210;0,1194
211;0,1115
212;0,1055
213;0,0998
214;0,0945
215;0,0906
216;0,0857
217;0,0815
218;0,0787
219;0,076
220;0,0735
221;0,0703
222;0,0686
223;0,0661
224;0,0648
225;0,0626
226;0,0595
227;0,0574
228;0,0554
229;0,054
230;0,0532
231;0,051
232;0,0503
233;0,0492
234;0,0481
235;0,047
236;0,0459
237;0,0449
238;0,0444
239;0,0433
240;0,0425
241;0,0416
242;0,0407
243;0,0406
244;0,0401
245;0,0406
246;0,0384
247;0,0385
248;0,0386
249;0,0379
250;0,0383
251;0,0371
252;0,0373
253;0,0373
254;0,0371
255;0,0362
256;0,0358
257;0,0358
258;0,0347
259;0,0348
260;0,0354
261;0,0356
262;0,0339
263;0,0335
264;0,0333
265;0,0332
266;0,0328
267;0,032
268;0,0309
269;0,0307
270;0,0299
271;0,0291
272;0,0292
273;0,0282
274;0,0278
275;0,0271
276;0,0266
277;0,0255
278;0,0257
279;0,0259
280;0,0241
281;0,0243
282;0,0237
283;0,0234
284;0,0236
285;0,0229
286;0,0236
287;0,0235
288;0,0232
289;0,0224
290;0,0226
291;0,0223
292;0,0231
293;0,0225
294;0,0223
295;0,0218
296;0,0212
297;0,0217
298;0,0214
299;0,0213
300;0,0214
301;0,0212
302;0,0212
303;0,0208
304;0,0216
305;0,0213
306;0,0217
307;0,0219
308;0,0211
309;0,0204
310;0,0206
311;0,0215
312;0,0217
313;0,0216
314;0,022
315;0,0208
316;0,022
317;0,0218
318;0,0222
319;0,0218
320;0,0225
321;0,0226
322;0,0229
323;0,0224
324;0,0224
325;0,024
326;0,0231
327;0,0237
328;0,0254
329;0,0244
330;0,0253
331;0,0255
332;0,0248
333;0,0263
334;0,0268
335;0,0273
336;0,0268
337;0,0264
338;0,0278
339;0,0288
340;0,0283
341;0,0298
342;0,029
343;0,0277
344;0,0297
345;0,0299
346;0,0312
347;0,0321
348;0,0316
349;0,0324
350;0,0322
351;0,0319
352;0,032
353;0,0345
354;0,0351
355;0,0353
356;0,0351
357;0,0348
358;0,0367
359;0,0377
360;0,0351
361;0,0364
362;0,0369
363;0,0396
364;0,0385
365;0,0376
366;0,0387
367;0,0393
368;0,0398
369;0,04
370;0,0403
371;0,0408
372;0,041
373;0,0409
374;0,0404
375;0,0419
376;0,0428
377;0,0412
378;0,0429
379;0,044
380;0,0432
381;0,0437
382;0,0434
383;0,0433
384;0,0434
385;0,0451
386;0,0438
387;0,0444
388;0,0466
389;0,0435
390;0,0459
391;0,0448
392;0,044
393;0,0434
394;0,0452
395;0,0441
396;0,044
397;0,0451
398;0,0427
399;0,0429
400;0,0431
